"dia_mes_ano","hora_minuto","massaPM1","temp","numPM4","irr","rainfall","numPM10","tamanho_medio","massaPM10","numPM1","massaPM2","vento_dir","hum","massaPM4","vento_vel","numPM2"
"dia_mes_ano",1,0.436075714263479,-0.00173735253235203,0.00436177693981292,-0.0109989279025721,NA,NA,-0.0108518480897134,0.0328279543108388,-0.00792978847831995,-0.00437976487301682,-0.00181200728349649,0.0227411143458971,NA,-0.002487429375218,NA,-0.008245216434302
"hora_minuto",0.436075714263479,1,-0.00182950976096541,0.097303056842657,-0.0389754762255508,NA,NA,-0.0397301224325846,0.0284267281400581,-0.0500183224476634,-0.00846818625905051,-0.00371395598483121,0.104928345980879,NA,-0.00748438912534464,NA,-0.0250709671882052
"massaPM1",-0.00173735253235203,-0.00182950976096541,1,0.00859558016075764,0.204181307876268,NA,NA,0.110950092384637,0.0618905073405092,0.689960928128926,0.892631960211389,0.992401552949943,-0.0330574352404987,NA,0.988563271404018,NA,0.740930049777146
"temp",0.00436177693981292,0.097303056842657,0.00859558016075764,1,0.0561466387234089,NA,NA,0.0565304443524536,-0.0186733742267789,0.0684331403803983,0.0144067913299048,0.0120459389681809,-0.302583397452801,NA,0.0168906498145834,NA,0.0412791561878334
"numPM4",-0.0109989279025721,-0.0389754762255508,0.204181307876268,0.0561466387234089,1,NA,NA,0.995476236065092,0.31595558381519,0.810602500141436,0.396098056928788,0.244958668631302,-0.420610977993424,NA,0.294935592596974,NA,0.804871618410145
"irr",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rainfall",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"numPM10",-0.0108518480897134,-0.0397301224325846,0.110950092384637,0.0565304443524536,0.995476236065092,NA,NA,1,0.314217956619912,0.756408304881767,0.314475466567178,0.151834359646066,-0.424329044936631,NA,0.203008864430433,NA,0.744847055744005
"tamanho_medio",0.0328279543108388,0.0284267281400581,0.0618905073405092,-0.0186733742267789,0.31595558381519,NA,NA,0.314217956619912,1,0.27113845897655,0.139185738917619,0.0826873718747509,-0.182946127544251,NA,0.100005155391047,NA,0.25651089383061
"massaPM10",-0.00792978847831995,-0.0500183224476634,0.689960928128926,0.0684331403803983,0.810602500141436,NA,NA,0.756408304881767,0.27113845897655,1,0.76934292325344,0.724634108754982,-0.343529488811017,NA,0.761358440593159,NA,0.968169183668891
"numPM1",-0.00437976487301682,-0.00846818625905051,0.892631960211389,0.0144067913299048,0.396098056928788,NA,NA,0.314475466567178,0.139185738917619,0.76934292325344,1,0.910855228330546,-0.105685592431095,NA,0.918349006630534,NA,0.81736134372277
"massaPM2",-0.00181200728349649,-0.00371395598483121,0.992401552949943,0.0120459389681809,0.244958668631302,NA,NA,0.151834359646066,0.0826873718747509,0.724634108754982,0.910855228330546,1,-0.0519098932288681,NA,0.998490475584558,NA,0.771933517244278
"vento_dir",0.0227411143458971,0.104928345980879,-0.0330574352404987,-0.302583397452801,-0.420610977993424,NA,NA,-0.424329044936631,-0.182946127544251,-0.343529488811017,-0.105685592431095,-0.0519098932288681,1,NA,-0.0762186409027011,NA,-0.303462132129738
"hum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"massaPM4",-0.002487429375218,-0.00748438912534464,0.988563271404018,0.0168906498145834,0.294935592596974,NA,NA,0.203008864430433,0.100005155391047,0.761358440593159,0.918349006630534,0.998490475584558,-0.0762186409027011,NA,1,NA,0.803274869094591
"vento_vel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"numPM2",-0.008245216434302,-0.0250709671882052,0.740930049777146,0.0412791561878334,0.804871618410145,NA,NA,0.744847055744005,0.25651089383061,0.968169183668891,0.81736134372277,0.771933517244278,-0.303462132129738,NA,0.803274869094591,NA,1
