dia_mes_ano,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,n.x,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,n.y,P_DC
20191004,053000,22.28,7.74,0.26,0,0,63.9,0.17,0,0,0.48,22.79,102,0,15,20.4,0.67,217.41,143.87,0.33,519.22,15,171.3426
20191004,054500,60.22,6.3,0.21,0,0,51.97,0.14,0,0,0.48,27.71,180,0,15,48.8,1.69,218.45,366.33,0.7,560.97,15,392.679
20191004,060000,99.22,9.25,0.31,0,0,76.27,0.21,0,0,0.48,30.55,180,0,15,86.6,3.02,218.21,655.73,1.23,561.92,15,691.1615999999999
20191004,061500,150.12,18,0.6,0,0,148.47,0.41,0,0,0.49,30.01,180,1.06,15,140.4,5.29,217.99,1151.87,2.22,532.51,15,1182.1722
20191004,063000,208.03,9.7,0.32,0,0,80.04,0.22,0,0,0.49,29.35,156,3.28,15,199.87,7.95,219.36,1742.67,3.2,555.57,15,1777.8240000000003
20191004,064500,264.09,11.91,0.4,0,0,98.26,0.27,0,0,0.49,29.55,123,4.7,15,263.13,10.85,217.82,2360.2,4.22,568.36,15,2398.4791999999998
20191004,070000,327.42,5.78,0.19,0,0,47.69,0.13,0,0,0.45,29.7,96,12.15,15,332.73,13.7,218.55,2967.87,5.31,570.06,15,3027.0185999999994
20191004,071500,386.25,5.21,0.17,0,0,42.95,0.12,0,0,0.45,30.24,96,14.19,15,398.73,16.57,215.91,3575.47,6.42,563.35,15,3616.707
20191004,073000,446.8,5.6,0.19,0,0,46.23,0.13,0,0,0.45,31.61,96,12.24,15,467.53,19.14,216.86,4150.13,7.55,556.62,15,4202.481
20191004,074500,507.09,5.72,0.19,0,0,47.16,0.13,0,0,0.45,32.23,93,13.3,15,536.27,21.77,216.05,4702.2,8.69,548.6,15,4767.334
20191004,080000,559.18,6.1,0.2,0,0,50.34,0.14,0,0,0.46,32.45,57,12.41,15,596.27,24.03,215.82,5187.2,9.68,542.83,15,5254.5944
20191004,081500,614.18,6,0.2,0,0,49.52,0.14,0,0,0.44,32.01,39,19.51,15,651.53,26.09,216.37,5645.67,10.66,538.13,15,5736.4658
20191004,083000,667.72,5.7,0.19,0,0,47,0.13,0,0,0.44,32.96,84,14.54,15,709.2,28.54,214.19,6111.93,11.62,535.07,15,6217.5134
20191004,084500,699.72,5.75,0.19,0,0,47.44,0.13,0,0,0.45,33.74,87,11.79,15,747.2,29.6,214.45,6335.87,12.32,528.04,15,6505.4528
20191004,090000,765.43,5.64,0.19,0,0,46.56,0.13,0,0,0.45,34.65,72,13.48,15,837.27,32.13,216.87,6974.27,13.74,520.07,15,7145.761800000001
20191004,091500,559.97,5.86,0.2,0,0,48.31,0.13,0,0,0.44,33.68,93,11.97,15,632.47,23.93,216.79,5237,9.72,534.95,15,5199.714000000001
20191004,093000,748.9,7.32,0.24,0,0,60.41,0.17,0,0,0.44,34.7,93,9.58,15,743,28.34,218.81,6253,11.78,531.29,15,6258.596199999999
20191004,094500,849.25,5.93,0.2,0,0,48.94,0.13,0,0,0.44,35.47,69,9.13,15,864.4,32.48,220.12,7095.6,14.23,512.48,15,7292.5904
20191004,100000,889.57,5.24,0.17,0,0,43.24,0.12,0,0,0.43,35.75,105,11.08,15,949.8,35.19,219.5,7724.13,15.69,500.73,15,7856.4537
20191004,101500,904.91,5.02,0.17,0,0,41.38,0.11,0,0,0.43,36.69,141,6.47,15,970.93,35.67,219.65,7836.33,16.06,496.17,15,7968.490199999999
20191004,103000,927.78,5.27,0.18,0,0,43.48,0.12,0,0,0.43,35.91,51,10.73,15,990.33,35.98,221.24,7961.93,16.35,495.09,15,8094.721500000001
20191004,104500,937.83,5.09,0.17,0,0,42.02,0.12,0,0,0.42,35.9,99,11.88,15,995.6,36.33,220.05,7997.13,16.47,494.24,15,8140.132799999999
20191004,110000,967.05,5.48,0.18,0,0,45.19,0.12,0,0,0.43,36.97,69,11.17,15,1024.87,37.03,221.15,8190.4,16.87,494.47,15,8341.708900000001
20191004,111500,1007.11,5.15,0.17,0,0,42.52,0.12,0,0,0.44,37.64,138,10.99,15,1062.93,37.12,222.68,8269.53,16.54,509.19,15,8422.0026
20191004,113000,704.74,4.64,0.15,0,0,38.29,0.11,0,0,0.44,37.36,219,9.13,15,803.53,28.14,219.19,6144.2,11.81,524.25,15,6191.3925
20191004,114500,558.52,4.69,0.15,0,0,38.68,0.11,0,0,0.43,37.42,183,9.04,15,701.27,25.77,219.77,5608.8,10.76,528.63,15,5688.0588
20191004,120000,471.92,5,0.17,0,0,41.28,0.11,0,0,0.43,36.71,177,7.27,15,477.13,18.18,217.9,4064.53,7.43,530.51,15,3941.6893
20191004,121500,126.99,5.13,0.17,0,0,42.34,0.12,0,0,0.44,33.9,72,13.3,15,121,5.41,215.5,1163.87,2.29,522.49,15,1196.5021
20191004,123000,109.93,4.69,0.16,0,0,38.67,0.11,0,0,0.48,25.4,96,11.79,15,116.8,5.32,216.56,1151.27,2.11,558.22,15,1177.8442
20191004,124500,82.7,5.25,0.17,0,0,43.28,0.12,0,0,0.47,25.72,93,14.54,15,79.8,3.76,216.41,812.4,1.49,557.41,15,830.5409
20191004,130000,109.4,4.57,0.15,0,0,37.72,0.1,0,0,0.48,21.07,213,8.51,15,112,5.14,216.17,1111.6,2.01,566.1,15,1137.8609999999999
20191004,131500,186.75,4.56,0.15,0,0,37.61,0.1,0,0,0.45,24.03,222,0.53,15,189.2,8.83,216.79,1911.93,3.41,570.53,15,1945.5073
20191004,133000,309.3,5.59,0.19,0,0,46.09,0.13,0,0,0.47,27.01,84,5.14,15,294.93,13.81,217.3,2997.2,5.41,563.28,15,3047.3448
20191004,134500,640.36,6.75,0.22,0,0,55.71,0.15,0,0,0.48,29.57,54,7.89,15,569.07,23.66,220.04,5245.07,9.43,555.73,15,5240.5339
20191004,140000,487.52,5.48,0.18,0,0,45.23,0.12,0,0,0.45,32.37,117,4.61,15,484.93,20.18,219.64,4429.07,8.52,530.53,15,4520.115599999999
20191004,141500,319.17,5.38,0.18,0,0,44.35,0.12,0,0,0.43,34.43,266.79,4.28,14,306.73,13.42,217.07,2914.4,5.55,532.85,15,2957.3175
20191004,143000,125.27,5.73,0.19,0,0,47.28,0.13,0,0,0.45,32.15,252,8.42,15,131.13,5.64,216.07,1221.4,2.36,528.45,15,1247.142
20191004,144500,120.77,4.56,0.15,0,0,37.65,0.1,0,0,0.47,27.99,240,11.79,15,123.93,5.8,214.61,1241.33,2.33,545.71,15,1271.5043
20191004,150000,77.28,4.92,0.16,0,0,40.58,0.11,0,0,0.45,26.9,252,8.6,15,82.73,3.77,214.27,806.93,1.53,544.62,15,833.2686
20191004,151500,71.72,5.22,0.17,0,0,43.11,0.12,0,0,0.47,26.13,204,4.79,15,75.4,3.43,215.31,736.53,1.39,548.04,15,761.7755999999999
20191004,153000,82.83,4.83,0.16,0,0,39.82,0.11,0,0,0.47,26.06,207,5.41,15,89.73,4.08,215.22,875.27,1.63,550.49,15,897.2986999999999
20191004,154500,77.81,4.39,0.15,0,0,36.19,0.1,0,0,0.46,26.13,237,6.92,15,79.33,3.59,215.3,772.13,1.45,547.79,15,794.2955
20191004,160000,45.15,4.25,0.14,0,0,35.03,0.1,0,0,0.46,26.33,270,1.51,15,49.87,2.18,214.05,466,0.91,535.71,15,487.49610000000007
20191004,161500,15.01,5.1,0.17,0,0,42.04,0.11,0,0,0.47,25.18,225,7.89,15,26.47,1.09,214.43,234.27,0.49,517.87,15,253.7563
20191004,163000,12.59,5.05,0.17,0,0,41.67,0.11,0,0,0.46,24.54,102,5.32,15,25.67,1.04,215.21,220.87,0.47,520.25,15,244.51749999999998
20191004,164500,4.14,5.31,0.18,0,0,43.83,0.12,0,0,0.44,24.7,234,1.33,15,16.07,0.57,215.15,119.73,0.29,501.7,15,145.493
20191004,170000,2.43,6.24,0.21,0,0,51.48,0.14,0,0,0.46,24.61,159,0.53,15,7.27,0.18,214.33,34.4,0.13,471.07,15,61.2391
20191004,171500,1.3,6.68,0.22,0,0,55.14,0.15,0,0,0.46,24.69,249,1.77,15,4.47,0.11,215.52,13.6,0.09,458.97,15,41.3073
20191004,173000,0.44,5.82,0.19,0,0,48.05,0.13,0,0,0.44,24.72,189,0.98,15,0.2,0.09,213.77,0,0.01,452.45,15,4.5245
20191004,174500,0.3,5.94,0.2,0,0,49,0.13,0,0,0.47,24.97,192,0.89,15,0,0.09,213.3,0,0,181.32,15,0
20191004,180000,0.08,6.2,0.21,0,0,51.18,0.14,0,0,0.48,24.78,180,0,15,0,0.09,213.3,0,0,46.95,15,0
20191004,181500,0.17,7.78,0.26,0,0,64.16,0.18,0,0,0.48,24.97,171,2.84,15,0,0.09,213.3,0,0,41.89,15,0
20191004,183000,0.34,5.91,0.2,0,0,48.73,0.13,0,0,0.47,24.72,162,3.55,15,0,0.09,213.3,0,0,40.7,15,0
20191004,184500,0.04,5.16,0.17,0,0,42.6,0.12,0,0,0.46,24.8,150,3.28,15,0,0.09,213.3,0,0,43.01,15,0
20191004,190000,0.04,4.47,0.15,0,0,36.87,0.1,0,0,0.46,24.68,174,2.84,15,0,0.09,213.3,0,0,42.83,15,0
20191004,191500,0.21,4.25,0.14,0,0,35.04,0.1,0,0,0.46,24.67,168,1.6,15,0,0.09,213.3,0,0,44.35,15,0
20191004,193000,0.52,4.66,0.15,0,0,38.44,0.11,0,0,0.45,23.88,171,4.61,15,0,0.09,213.3,0,0,43.67,15,0
20191004,194500,0,5.33,0.18,0,0,43.98,0.12,0,0,0.47,21.4,180,5.76,15,0,0.09,213.3,0,0,41.96,15,0
20191004,200000,0,6.3,0.21,0,0,51.98,0.14,0,0,0.45,22.66,177,4.97,15,0,0.09,213.3,0,0,42.69,15,0
20191004,201500,0.08,6.43,0.21,0,0,53,0.15,0,0,0.45,23.32,180,3.28,15,0,0.09,213.3,0,0,43.27,15,0
20191004,203000,0.04,6.19,0.2,0,0,51.07,0.14,0,0,0.46,23.72,165,5.32,15,0,0.09,213.3,0,0,42.29,15,0
20191004,204500,0,6.23,0.21,0,0,51.44,0.14,0,0,0.46,23.76,153,4.52,15,0,0.09,213.3,0,0,43.07,15,0
20191004,210000,0.04,6.57,0.22,0,0,54.24,0.15,0,0,0.45,23.68,168,3.46,15,0,0.09,213.3,0,0,43.99,15,0
20191004,211500,0,6.5,0.22,0,0,53.61,0.15,0,0,0.46,23.81,156,3.55,15,0,0.09,213.3,0,0,43.01,15,0
20191004,213000,0.34,7.3,0.24,0,0,60.21,0.17,0,0,0.45,24,153,4.08,15,0,0.09,213.3,0,0,43.13,15,0
20191004,214500,0.08,8.89,0.3,0,0,73.38,0.2,0,0,0.45,23.92,156,2.13,15,0,0.09,213.3,0,0,43.51,15,0
20191004,220000,0,9.71,0.32,0,0,80.11,0.22,0,0,0.47,23.94,123,3.19,15,0,0.09,213.3,0,0,42.88,15,0
20191004,221500,0.04,8.06,0.27,0,0,66.46,0.18,0,0,0.47,24.22,123,2.13,15,0,0.09,213.3,0,0,42.93,15,0
20191004,223000,0.34,6.86,0.23,0,0,56.61,0.16,0,0,0.46,24.48,129,1.6,15,0,0.09,213.3,0,0,44.32,15,0
20191004,224500,0,7.19,0.24,0,0,59.32,0.16,0,0,0.45,24.47,114,3.64,15,0,0.09,213.3,0,0,44.55,15,0
20191004,230000,0.21,7.42,0.25,0,0,61.21,0.17,0,0,0.46,24.49,102,3.19,15,0,0.09,213.3,0,0,43.7,15,0
20191004,231500,0,7.65,0.25,0,0,63.12,0.17,0,0,0.45,24.38,96,2.66,15,0,0.09,213.3,0,0,43.68,15,0
20191004,233000,0.57,7.52,0.25,0,0,62.08,0.17,0,0,0.47,24.34,99,2.48,15,0,0.09,213.3,0,0,43.98,15,0
20191004,234500,0.33,7.84,0.26,0,0,64.65,0.18,0,0,0.45,24.07,90,0.66,14,0,0.09,213.3,0,0,43.69,15,0
